"varname","varlabel","variable_description","vartype","UKBfield","variable_derivation"
"ID","Participant unique identifier","ID number assigned by UKB to the participant","Integer",NA,NA
"GroupB","CVD","An indicator variable for whether the participant had prior CVD","Boolean","20002","Conditions categorised as CVD were: Stroke, Transient Ischaemic Attack, Angina and Myocardial Infarction"
"GroupC","Other chronic comorbidities","An indicator variable for whether the participant had a chronic health condition","Boolean","20002","There are 88 non-cancer illness codes categorised as other chronic co-morbidities, probably don't want to list them all here?"
"BirthCountryIncomeLevel","Country of birth, categorised by income level","The World Bank income categorisation for the participant's self-reported country of birth","Categorical","20115, (1647)","The country names from the UKB verbal interview data were matched to those of the World Bank classification, and the ""Lower Middle"" and ""Upper Middle"" categories were grouped to ""Middle income"""
"income","Household Income","Participant's average total household income before tax","Categorical","738, 10877",NA
"townsend_depind","Townsend Deprivation Index","Townsend deprivation index, a higher score implies a greated degree of deprivation.","Float","189",NA
"employment","Employment category","Standard Occupational Classification group of participant's job, categorised from job titles self-reported in verbal interview","Categorical","132",NA
"shiftwork","Whether job involved shift work","Among participants who had said they were in paid employment or self employed, whether their job involved shift work","Categorical","826",NA
"Smo_Status","Smoking Status","Smoking status","Categorical","20116","Prefer not to answer was coded as missing"
"alc_binge_","Harmful alcohol consumption","An indicator variable for harmful alcohol consumption, defined as > 14 units per week for men, or > 7 units per week for women","Boolean","1568, 1578, 1588, 1598, 1608, 5364","Average weekly intake of each kind of alcohol was summed and the total weekly units considered. This data was available for participants who said they drank alcohol more than once or twice a week, those who drank less frequently were not considered to have harmful alcohol consumption."
"METs_over150_","Physical activity","An indicator variable for whether the participant's average daily METs exceeded 150","Boolean","22040","The summed MET minutes per week were divided by 7 to get average daily METs"
"PhA_METsWkAllAct","Total number of METs per week","Summed MET minutes per week for all activity, including walking, moderate and vigorous activity.","Float","22040",NA
"Sle_Duration","Estimated hours of sleep per 24 hours (hours/day)","Estimated hours of sleep per 24 hours (hours/day)","Integer","1160",NA
"mean_reacttime","Mean time to correctly identify matches in a game of Snap (seconds)","The mean duration to first press of snap button summed over rounds in which both cards matched. It gives a crude approximation of the raw processing and reaction speed of a participant.","Float","20023",NA
"HTNdx_duration","Duration of hypertension diagnosis","The duration in years since the person received a diagnosis of hypertension","Float","53, 2966, 20008, 21003","The time in years between the recruitment date and the interpolated fractional year when hypertension was first diagnosed, as reported in verbal interview. If this is unavailable, then the difference in years between age at baseline assessment and the age at diagnosis, reported in the touchscreen questionnaire. If this is unavailable then *insert some form of imputation here?*"
"FamilyHist_CVD_","Family history of CVD","If any of the father, mother or siblings were reported to have high blood pressure, heart disease or stroke","Boolean","20107, 20110, 20111","If any of the father, mother or siblings were reported to have high blood pressure, heart disease or stroke"
"WaistCirc","Waist circumference (cm)","Waist circumference, measured by a nurse at baseline","Float","48",NA
"HTNdx_severity",NA,NA,NA,NA,NA
"aware_","Aware of hypertension","Among participants considered to have some evidence of hypertension, if the participant self-reported a diagnosis of hypertension in the touchscreen questionnaire or verbal interview, or reported that they were taking BP medication, then they were considered to be aware of their hypertension","Boolean","6150, 6153, 6177, 20002, 20003","If the participant self-reported a diagnosis of hypertension in either the touchscreen questionnaire or the verbal interview, OR if the participant self-reported taking medication for their blood pressure or reported taking medications that are categorised as an antihypertensive treatment combination under the rubric."
"SBP","Mean systolic BP (mmHg)","The mean of the two systolic BP measurements recorded at baseline assessment","Float","93, 4079","The BP measurements could be either manual or automatic; the average of the two systolic measurements by either method was calculated"
