"Continent","Country","VeI_BirthCountry"
"Africa","Benin",103
"Africa","Algeria",101
"Africa","Cameroon",107
"Africa","Botswana",104
"Africa","Burkina",105
"Africa","Comoros",111
"Africa","Cape Verde",108
"Africa","Caribbean",109
"Africa","Central African Republic",110
"Africa","Egypt",115
"Africa","Equatorial Guinea",116
"Africa","Eritrea",117
"Africa","East Africa",114
"Africa","Burundi",106
"Africa","Ghana",120
"Africa","Guinea",121
"Africa","Ethiopia",118
"Africa","Ivory Coast",123
"Africa","Kenya",124
"Africa","Congo",112
"Africa","Guinea-Bissau",122
"Africa","Libya",127
"Africa","Madagascar",128
"Africa","Malawi",129
"Africa","Mauritania",130
"Africa","Mauritius",131
"Africa","Morocco",132
"Africa","Mozambique",133
"Africa","Namibia",134
"Africa","Niger",135
"Africa","Nigeria",136
"Africa","Rwanda",137
"Africa","Sao Tome and Principe",138
"Africa","Liberia",126
"Africa","Seychelles",140
"Africa","Sierra Leone",141
"Africa","Angola",102
"Africa","South Africa",143
"Africa","Sudan",144
"Africa","Swaziland",145
"Africa","Tanzania",146
"Africa","Togo",147
"Africa","Tunisia",148
"Africa","Uganda",149
"Africa","West Africa",150
"Africa","Zambia",151
"Africa","Senegal",139
"Africa","Djibouti",113
"Africa","Lesotho",125
"Africa","Gambia",119
"Africa","Somalia",142
"Africa","Zimbabwe",152
"Asia","Afghanistan",201
"Asia","Bahrain",202
"Asia","Myanmar (Burma)",207
"Asia","Borneo",204
"Asia","British Indian Ocean Territory",205
"Asia","Emirates",210
"Asia","Hong Kong",211
"Asia","Cambodia",208
"Asia","China",209
"Asia","Iran",214
"Asia","Iraq",215
"Asia","Bangladesh",203
"Asia","Japan",217
"Asia","Jordan",218
"Asia","Kashmir",219
"Asia","Kurdistan",220
"Asia","Kuwait",221
"Asia","Kyrgyzstan",222
"Asia","Laos",223
"Asia","Lebanon",224
"Asia","Macau (Macao)",225
"Asia","Indonesia",213
"Asia","Maldives",227
"Asia","Mongolia",228
"Asia","Israel",216
"Asia","North Korea",230
"Asia","Oman",231
"Asia","Pakistan",232
"Asia","Palestine",233
"Asia","Pattaya",234
"Asia","Philippines",235
"Asia","Qatar",236
"Asia","Saint Helena",237
"Asia","Saudi Arabia",238
"Asia","Malaysia",226
"Asia","South Korea",240
"Asia","Sri Lanka",241
"Asia","Syria",242
"Asia","Taiwan",243
"Asia","Tajikistan",244
"Asia","Thailand",245
"Asia","Brunei",206
"Asia","Turkmenistan",247
"Asia","Uzbekistan",248
"Asia","Vietnam",249
"Asia","West Indies",250
"Asia","Yemen",251
"Asia","Singapore",239
"Asia","India",212
"Asia","Nepal",229
"Asia","Tibet",246
"Europe","Albania",302
"Europe","Armenia",303
"Europe","Azerbaijan",305
"Europe","Belarus",306
"Europe","Belgium",307
"Europe","Bulgaria",309
"Europe","Crete",310
"Europe","Croatia",311
"Europe","Cyprus",312
"Europe","Czech Republic",313
"Europe","Akrotiri and Dhekelia",301
"Europe","Estonia",315
"Europe","Faroe Islands",316
"Europe","Austria",304
"Europe","France",318
"Europe","Georgia",319
"Europe","Germany",320
"Europe","Bosnia and Herzegovina",308
"Europe","Greece",322
"Europe","Hungary",323
"Europe","Iceland",324
"Europe","Isle of Man",325
"Europe","Italy",326
"Europe","Denmark",314
"Europe","Latvia",328
"Europe","Lithuania",329
"Europe","Luxembourg",330
"Europe","Macedonia",331
"Europe","Madeira",332
"Europe","Malta",333
"Europe","Gibraltar",321
"Europe","Monaco",335
"Europe","Netherlands",336
"Europe","Netherlands Antilles",337
"Europe","Norway",338
"Europe","Poland",339
"Europe","Kazakhstan",327
"Europe","Republic of Kosovo",341
"Europe","Romania",342
"Europe","Russia",343
"Europe","Serbia",344
"Europe","Serbia/Montenegro",345
"Europe","Sicily",346
"Europe","Slovakia",347
"Europe","Slovenia",348
"Europe","Spain",349
"Europe","Sweden",350
"Europe","Switzerland",351
"Europe","Turkey",352
"Europe","Ukraine",353
"Europe","United Kingdom",354
"Europe","Channel Islands",355
"Europe","Ireland",356
"Europe","Finland",317
"Europe","Portugal",340
"Europe","Moldova",334
"North America","Anguilla",401
"North America","Aruba",403
"North America","Barbados",405
"North America","Antigua and Barbuda",402
"North America","Bermuda",407
"North America","Canada",409
"North America","Costa Rica",410
"North America","Belize",406
"North America","Guatemala",416
"North America","Mexico",421
"North America","Nicaragua",424
"North America","Panama",426
"North America","Puerto Rico",427
"North America","USA",434
"North America","Bahamas",404
"North America","El Salvador",413
"Oceania","Samoa",501
"Oceania","Fiji",503
"Oceania","New Zealand",505
"Oceania","Pacific Islands",506
"Oceania","Australia",502
"South America","Argentina",601
"South America","Bolivia",602
"South America","Brazil",603
"South America","Chile",604
"South America","Colombia",605
"South America","Cuba",606
"South America","Ecuador",607
"South America","Falkland Islands",608
"South America","The Guianas",609
"South America","Paraguay",611
"South America","Peru",612
"South America","South Georgia and the South Sandwich Islands",613
"South America","Suriname",614
"South America","Uruguay",615
"South America","Venezuela",616
